valid_auc,target,rule,selected_races,selected_rate,avg_score,min_score,max_score,avg_payout,median_payout,max_payout,over_30_rate,over_50_rate,over_100_rate,target_hit_rate
0.6258390984833009,is_over_100,ALL,13308,1.0,0.15403708858993206,0.011390864193356694,0.6545600620617411,13393.044785091673,3860.0,1240140,0.09723474601743312,0.056732792305380225,0.020889690411782385,0.020889690411782385
0.6258390984833009,is_over_100,top_1pct,133,0.009993988578298767,0.500793683703932,0.45862116606743547,0.6545600620617411,29424.51127819549,9350.0,778840,0.24060150375939848,0.12030075187969924,0.06015037593984962,0.06015037593984962
0.6258390984833009,is_over_100,top_3pct,399,0.029981965734896303,0.44713958077587934,0.387677902225307,0.6545600620617411,27532.50626566416,9370.0,778840,0.24310776942355888,0.13533834586466165,0.05263157894736842,0.05263157894736842
0.6258390984833009,is_over_100,top_5pct,665,0.04996994289149384,0.41381358185273576,0.3417092617082609,0.6545600620617411,27177.007518796992,8960.0,778840,0.22556390977443608,0.13383458646616542,0.04962406015037594,0.04962406015037594
0.6258390984833009,is_over_100,top_10pct,1330,0.09993988578298768,0.3469899377084333,0.22993401859626075,0.6545600620617411,26567.57894736842,7840.0,1240140,0.19548872180451127,0.1255639097744361,0.05112781954887218,0.05112781954887218
0.6258390984833009,is_over_100,top_15pct,1996,0.1499849714457469,0.30106329586602903,0.19569101541165945,0.6545600620617411,22375.485971943886,6305.0,1240140,0.16683366733466934,0.10671342685370741,0.0405811623246493,0.0405811623246493
0.6258390984833009,is_over_100,top_20pct,2661,0.19995491433724075,0.27264710701510997,0.18044260741305235,0.6545600620617411,20020.488538143556,5740.0,1240140,0.15069522735813604,0.09319804584742578,0.03494926719278467,0.03494926719278467
0.6258390984833009,is_over_100,top_30pct,3992,0.2999699428914938,0.23851663589857594,0.16175161561051316,0.6545600620617411,17880.986973947896,5205.0,1240140,0.13827655310621242,0.08291583166332665,0.030561122244488977,0.030561122244488977
0.6258390984833009,is_over_100,score>=0.05,13026,0.978809738503156,0.15653702546233234,0.05007378223321068,0.6545600620617411,13552.522647013666,3910.0,1240140,0.09849531705819131,0.05780746199907877,0.02126516198372486,0.02126516198372486
0.6258390984833009,is_over_100,score>=0.08,12292,0.9236549443943493,0.16187529587560057,0.08003953028027783,0.6545600620617411,13908.92531727953,4040.0,1240140,0.10104132769280832,0.05979498861047836,0.021965506020175725,0.021965506020175725
0.6258390984833009,is_over_100,score>=0.10,11085,0.8329576194770063,0.1695916233282304,0.10000118294343167,0.6545600620617411,14364.026161479476,4170.0,1240140,0.1047361299052774,0.062426702751465946,0.02327469553450609,0.02327469553450609
0.6258390984833009,is_over_100,score>=0.12,8956,0.6729786594529606,0.1836163273137635,0.12000446714281304,0.6545600620617411,15225.78718177758,4450.0,1240140,0.11199196069673961,0.0666592228673515,0.025346136668155425,0.025346136668155425
0.6258390984833009,is_over_100,score>=0.15,5160,0.38773669972948605,0.2197417074722046,0.15000093977762088,0.6545600620617411,16891.908914728683,4960.0,1240140,0.12616279069767442,0.07519379844961241,0.028294573643410852,0.028294573643410852
0.6258390984833009,is_over_100,score>=0.20,1872,0.1406672678088368,0.3078996199700751,0.20004294340268372,0.6545600620617411,22778.872863247863,6460.0,1240140,0.16987179487179488,0.10844017094017094,0.041666666666666664,0.041666666666666664
0.6258390984833009,is_over_100,score>=0.25,1146,0.08611361587015329,0.3642712900916245,0.25023926201071495,0.6545600620617411,28501.73647469459,8615.0,1240140,0.21029668411867364,0.13525305410122165,0.055846422338568937,0.055846422338568937
0.6258390984833009,is_over_100,score>=0.30,887,0.06665163811241359,0.39048548075501394,0.30001203404526766,0.6545600620617411,28701.352874859076,8920.0,778840,0.2277339346110485,0.14430665163472378,0.05636978579481398,0.05636978579481398
0.6258390984833009,is_over_100,score>=0.35,611,0.04591223324316201,0.4198487345461286,0.3500440717473732,0.6545600620617411,26898.657937806875,8860.0,778840,0.22913256955810146,0.132569558101473,0.05073649754500818,0.05073649754500818
0.6258390984833009,is_over_100,score>=0.40,348,0.026149684400360685,0.4550419233654314,0.40006867660596224,0.6545600620617411,29221.379310344826,9420.0,778840,0.25287356321839083,0.14655172413793102,0.0603448275862069,0.0603448275862069
0.6258390984833009,is_over_100,score>=0.50,49,0.003681995792004809,0.5408705261738523,0.5003014005718855,0.6545600620617411,28757.551020408162,9440.0,254610,0.3469387755102041,0.16326530612244897,0.061224489795918366,0.061224489795918366
