model,params,auc,rule,selected_races,selected_rate,avg_score,avg_payout,median_payout,max_payout,over_30_rate,over_50_rate,over_100_rate,target_hit_rate
rf_1,"{'n_estimators': 300, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': None}",0.619963363511837,ALL,13320,1.0,0.19008543135982753,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
rf_1,"{'n_estimators': 300, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': None}",0.619963363511837,top_1pct,133,0.009984984984984985,0.5211291268685792,24856.39097744361,9400.0,286320,0.2631578947368421,0.12030075187969924,0.05263157894736842,0.12030075187969924
rf_1,"{'n_estimators': 300, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': None}",0.619963363511837,top_3pct,399,0.029954954954954954,0.46806573598841955,26546.817042606515,9440.0,464820,0.24060150375939848,0.14035087719298245,0.05513784461152882,0.14035087719298245
rf_1,"{'n_estimators': 300, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': None}",0.619963363511837,top_5pct,666,0.05,0.43289472229102777,27018.09309309309,9360.0,778840,0.22972972972972974,0.13813813813813813,0.04954954954954955,0.13813813813813813
rf_1,"{'n_estimators': 300, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': None}",0.619963363511837,top_10pct,1332,0.1,0.3696132341463003,25527.237237237237,7930.0,1240140,0.19444444444444445,0.12162162162162163,0.0472972972972973,0.12162162162162163
rf_1,"{'n_estimators': 300, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': None}",0.619963363511837,score>=0.35,695,0.052177177177177174,0.42954353033810205,26726.64748201439,9360.0,778840,0.22877697841726619,0.13956834532374102,0.04748201438848921,0.13956834532374102
rf_1,"{'n_estimators': 300, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': None}",0.619963363511837,score>=0.40,433,0.032507507507507506,0.4631089267870991,27545.219399538106,9650.0,464820,0.2471131639722864,0.15011547344110854,0.05542725173210162,0.15011547344110854
rf_1,"{'n_estimators': 300, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': None}",0.619963363511837,score>=0.45,224,0.016816816816816817,0.49864003979517374,23444.6875,9375.0,286320,0.24553571428571427,0.11607142857142858,0.04017857142857143,0.11607142857142858
rf_1,"{'n_estimators': 300, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': None}",0.619963363511837,score>=0.50,85,0.0063813813813813815,0.53823334797202,29884.823529411766,10540.0,286320,0.3058823529411765,0.15294117647058825,0.07058823529411765,0.15294117647058825
rf_2,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': None}",0.6261710201193644,ALL,13320,1.0,0.25890023235640497,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
