feature,importance
sum_gear,0.027564675600081336
std_score,0.02515861007056718
min_score,0.024929754855471085
avg_score,0.024866973304722546
max_score,0.024191209314219177
score_gap,0.023199100922090553
sum_place_rate_raw,0.021427589297267752
sum_quinella_rate_raw,0.020396450001534828
avg_age,0.019330232587283367
max_quinella_rate_raw,0.019257803594390707
racer_count,0.019147643951260486
sum_win_rate_raw,0.018545801902957956
recent_mark_share,0.018117546548834167
recent_sashi_share,0.01806838584122992
max_win_rate,0.017976416920569113
recent_makuri_share,0.01781644477058151
recent_nige_share,0.017733097656746837
avg_quinella_rate_raw,0.01764658419262813
max_place_rate,0.01733050164162046
min_place_rate_raw,0.017262071218884425
max_place_rate_raw,0.017255213548414902
max_win_rate_raw,0.017170739345850748
avg_win_rate,0.017100147285682685
avg_place_rate_raw,0.01694148182283333
avg_win_rate_raw,0.01683035900595003
sum_out_count,0.016824210147799345
avg_place_rate,0.01648613643472432
avg_out_count,0.015650099945170505
min_quinella_rate_raw,0.015235461814694441
day,0.01453705562279707
sum_start_count,0.01410798494113171
avg_start_count,0.014028575469369968
recent_move_total,0.01365112412994617
sum_third_count,0.013212816838646595
avg_back_count,0.013166418283128208
sum_back_count,0.013117467077818709
sum_recent_sashi,0.012700573488200511
avg_third_count,0.012673423083299724
avg_second_count,0.011841266329793794
sum_second_count,0.011568909847053005
avg_recent_sashi,0.011425414616941148
max_out_count,0.01097919593366504
month,0.010913158112957295
max_back_count,0.010855081594966282
avg_first_count,0.01071205651165727
avg_gear,0.010572051062438722
max_start_count,0.010534150577202894
wind_speed,0.010390791032007633
sum_first_count,0.010360969077056054
avg_recent_makuri,0.010168984313256869
avg_recent_nige,0.010146906345863306
sum_recent_makuri,0.009951080075322936
avg_recent_mark,0.009599703247091236
race_no,0.009545552675939721
sum_recent_mark,0.009321200885335517
sum_recent_nige,0.009254567815531781
min_out_count,0.008701775918778713
max_recent_nige,0.008563183392783079
max_first_count,0.008240906026447791
max_recent_makuri,0.007328850704150305
max_recent_sashi,0.00714777941671657
max_third_count,0.006824256266043974
max_second_count,0.006578667906340383
min_win_rate_raw,0.006140436603883497
max_recent_mark,0.005843784581545066
held_no,0.005458822138807828
ryo_count,0.0053321568508242385
year,0.005182079780502472
oikomi_count,0.005022815085340193
front_runner_pressure,0.004887657387540844
nige_count,0.004583951483286573
min_gear,0.0041953429743762155
min_third_count,0.003757659696803615
min_second_count,0.0031271054716341586
max_gear,0.0024991590571244917
is_sunny,0.002443835869849864
weather_晴,0.002371755973242158
min_first_count,0.002051608236326847
weather_曇,0.0019076065884752274
is_cloudy,0.0018122156411651243
min_start_count,0.0012639343560464768
min_recent_sashi,0.0010984664399344107
weather_雨,0.0008365396040844525
weather_unknown,0.0007200846917213055
is_rain,0.0007139265660661072
is_strong_wind,0.00029308319044859453
place_kokura,0.0002864357671707259
place_ogaki,0.00028469230711164294
place_ito,0.0002614601003891354
place_tamano,0.00024267965589623333
place_kurume,0.0002056912825259943
place_kishiwada,0.00020060886086339764
place_utsunomiya,0.0001950435537449925
place_kochi,0.0001832288236024891
place_nara,0.00017910339960967213
place_seibuen,0.00017904748707985537
place_beppu,0.00017881283416484712
place_iwakitaira,0.00017539800100225996
min_recent_mark,0.00016470893210027753
place_yokkaichi,0.00015402064522818728
place_nagoya,0.0001536143479697791
place_toyohashi,0.00015112178622391932
place_toyama,0.00015071405236278613
place_komatsushima,0.00014797819998401996
place_hiratsuka,0.00014428421365306882
place_matsusaka,0.00014388942384357248
place_kumamoto,0.00014216147540493503
place_kawasaki,0.00013515794927355433
place_yahiko,0.00013081754173367068
place_takamatsu,0.00012981770929605335
place_sasebo,0.0001280472304119579
place_wakayama,0.00012564153683812358
place_maebashi,0.00012340747417745253
place_hakodate,0.00012081499523826658
place_toride,0.00011721480300345493
place_odawara,0.00011713251354414855
place_takeo,0.00011390755362968775
place_shizuoka,0.00011180714617963802
place_matsudo,0.00010844404359780582
place_tachikawa,0.0001068608527323089
place_keiokaku,0.00010321577022750926
place_aomori,0.00010289249490244
place_matsuyama,0.00010265107485406586
place_gifu,9.382513735343874e-05
min_recent_makuri,8.682058741813932e-05
place_omiya,7.822804083517191e-05
place_hofu,6.81019488320662e-05
place_fukui,4.43013551078894e-05
min_back_count,4.225033201912918e-05
place_mukomachi,3.811449443591164e-05
place_hiroshima,1.4239385577065876e-05
min_recent_nige,4.922446077663542e-06
makuri_count,0.0
day_no,0.0
sashi_count,0.0
is_very_strong_wind,0.0
is_snow,0.0
place_nan,0.0
weather_雪,0.0
weather_nan,0.0
