place,race_date_id,race_count
utsunomiya,24202506090100,12
utsunomiya,24202603090200,12
omiya,25202503190100,12
seibuen,26202402040200,12
ito,37202602070200,12
ito,37202602070201,12
fukui,51202309210200,12
wakayama,55202301230300,12
hofu,63202502060300,12
hofu,63202502060301,12
kochi,74202605310300,12
kurume,83202301230200,12
takeo,84202408270300,12
sasebo,85202411010200,12
beppu,86202301230300,12
kumamoto,87202408270300,12
