month,races,tickets,bet,return,profit,roi,roi_without_max_hit,hit_count,max_hit
2026-01,166,174,17400,18140,740,1.042528735632184,0.8672413793103448,6,3050
2026-02,145,150,15000,24290,9290,1.6193333333333333,1.4146666666666667,8,3070
2026-03,136,145,14500,12510,-1990,0.8627586206896551,0.6289655172413793,4,3390
2026-04,152,157,15700,15230,-470,0.9700636942675159,0.7745222929936306,5,3070
2026-05,147,152,15200,15100,-100,0.993421052631579,0.7927631578947368,5,3050
2026-06,108,112,11200,15170,3970,1.3544642857142857,1.08125,5,3060
