strategy,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_odds,median_odds,avg_score,max_hit_payout,max_hit_share,day
middle_plus_high_top5,8,24,3.0,2400,0,-2400,0.0,0.0,0,0.0,0.0,137.06250000000003,136.1,0.5257808036137109,0,0.0,2026-02-01
middle_plus_high_top5,8,12,1.5,1200,0,-1200,0.0,0.0,0,0.0,0.0,70.4,30.65,0.7303637011093564,0,0.0,2026-02-02
middle_plus_high_top5,10,10,1.0,1000,6130,5130,6.13,3.06,2,0.2,0.2,30.410000000000004,30.4,0.9137168693880394,3070,0.5008156606851549,2026-02-03
middle_plus_high_top5,3,3,1.0,300,0,-300,0.0,0.0,0,0.0,0.0,30.366666666666664,30.5,0.911636969718343,0,0.0,2026-02-04
middle_plus_high_top5,15,56,3.7333333333333334,5600,16030,10430,2.8625,0.0,1,0.017857142857142856,0.06666666666666667,145.48928571428573,146.1,0.47393242513731954,16030,1.0,2026-02-05
middle_plus_high_top5,11,53,4.818181818181818,5300,0,-5300,0.0,0.0,0,0.0,0.0,146.43396226415095,146.9,0.4791261838576434,0,0.0,2026-02-06
middle_plus_high_top5,14,42,3.0,4200,3000,-1200,0.7142857142857143,0.0,1,0.023809523809523808,0.07142857142857142,133.00000000000003,137.2,0.5349087513824087,3000,1.0,2026-02-07
middle_plus_high_top5,12,45,3.75,4500,0,-4500,0.0,0.0,0,0.0,0.0,147.13777777777779,151.3,0.4981021671290432,0,0.0,2026-02-08
middle_plus_high_top5,5,5,1.0,500,0,-500,0.0,0.0,0,0.0,0.0,30.339999999999996,30.3,0.9041233274376724,0,0.0,2026-02-09
middle_plus_high_top5,9,10,1.1111111111111112,1000,0,-1000,0.0,0.0,0,0.0,0.0,30.230000000000008,30.1,0.9104267379511025,0,0.0,2026-02-10
middle_plus_high_top5,5,5,1.0,500,3030,2530,6.06,0.0,1,0.2,0.2,30.439999999999998,30.5,0.910748298857173,3030,1.0,2026-02-11
middle_plus_high_top5,17,56,3.2941176470588234,5600,3050,-2550,0.5446428571428571,0.0,1,0.017857142857142856,0.058823529411764705,129.6535714285714,138.2,0.5117212255490828,3050,1.0,2026-02-12
middle_plus_high_top5,13,45,3.4615384615384617,4500,0,-4500,0.0,0.0,0,0.0,0.0,131.7088888888889,136.0,0.519676624046979,0,0.0,2026-02-13
middle_plus_high_top5,14,40,2.857142857142857,4000,0,-4000,0.0,0.0,0,0.0,0.0,130.635,145.45,0.5362343701450966,0,0.0,2026-02-14
middle_plus_high_top5,11,35,3.1818181818181817,3500,17340,13840,4.954285714285715,0.0,1,0.02857142857142857,0.09090909090909091,130.4114285714286,133.6,0.526957023875337,17340,1.0,2026-02-15
middle_plus_high_top5,11,15,1.3636363636363635,1500,6050,4550,4.033333333333333,2.013333333333333,2,0.13333333333333333,0.18181818181818182,103.13333333333331,30.6,0.7394622760882474,3030,0.5008264462809917,2026-02-16
middle_plus_high_top5,6,10,1.6666666666666667,1000,0,-1000,0.0,0.0,0,0.0,0.0,100.19000000000001,89.55,0.6856279971055306,0,0.0,2026-02-17
middle_plus_high_top5,5,5,1.0,500,0,-500,0.0,0.0,0,0.0,0.0,30.46,30.5,0.9084158701728651,0,0.0,2026-02-18
