strategy,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_odds,median_odds,avg_score,max_hit_payout,max_hit_share,month
direct_v1_middle_odds,166,174,1.0481927710843373,17400,18140,740,1.042528735632184,0.8672413793103448,6,0.034482758620689655,0.03614457831325301,30.353448275862064,30.4,0.9082556922791941,3050,0.1681367144432194,2026-01
direct_v1_middle_odds,145,150,1.0344827586206897,15000,24290,9290,1.6193333333333333,1.4146666666666667,8,0.05333333333333334,0.05517241379310345,30.35133333333334,30.3,0.908622383197079,3070,0.1263894606834088,2026-02
direct_v1_middle_odds,136,145,1.0661764705882353,14500,12510,-1990,0.8627586206896551,0.6289655172413793,4,0.027586206896551724,0.029411764705882353,30.342758620689654,30.3,0.9084648512463206,3390,0.2709832134292566,2026-03
direct_v1_middle_odds,152,157,1.0328947368421053,15700,15230,-470,0.9700636942675159,0.7745222929936306,5,0.03184713375796178,0.03289473684210526,30.384713375796174,30.4,0.9081448575960072,3070,0.20157583716349312,2026-04
direct_v1_middle_odds,147,152,1.034013605442177,15200,15100,-100,0.993421052631579,0.7927631578947368,5,0.03289473684210526,0.034013605442176874,30.34605263157895,30.3,0.9090397107325123,3050,0.20198675496688742,2026-05
direct_v1_middle_odds,108,112,1.037037037037037,11200,15170,3970,1.3544642857142857,1.08125,5,0.044642857142857144,0.046296296296296294,30.329464285714284,30.3,0.9083341293710853,3060,0.2017139090309822,2026-06
high_odds_v1_top5,141,691,4.900709219858156,69100,67570,-1530,0.9778581765557164,0.6800289435600579,4,0.005788712011577424,0.028368794326241134,169.3066570188133,168.0,0.45506079998121846,20580,0.30457303537072666,2026-01
high_odds_v1_top5,137,658,4.802919708029197,65800,33370,-32430,0.5071428571428571,0.24361702127659574,2,0.00303951367781155,0.014598540145985401,160.13662613981762,159.5,0.4542055409740995,17340,0.5196284087503746,2026-02
high_odds_v1_top5,222,1073,4.833333333333333,107300,203810,96510,1.8994408201304753,1.7153774464119291,13,0.012115563839701771,0.05855855855855856,163.65107176141663,162.6,0.45491115729948234,19750,0.09690397919631029,2026-03
high_odds_v1_top5,142,686,4.830985915492958,68600,78000,9400,1.1370262390670554,0.8466472303206997,5,0.007288629737609329,0.035211267605633804,163.53979591836736,163.45,0.45623668076346285,19920,0.2553846153846154,2026-04
high_odds_v1_top5,198,939,4.742424242424242,93900,67260,-26640,0.7162939297124601,0.5576144834930777,5,0.005324813631522897,0.025252525252525252,163.163684771033,162.4,0.4527132984760975,14900,0.2215283972643473,2026-05
high_odds_v1_top5,188,919,4.888297872340425,91900,127870,35970,1.3914036996735581,1.1640914036996735,7,0.007616974972796518,0.03723404255319149,169.56300326441783,167.8,0.450422644836244,20890,0.16336904668804253,2026-06
middle_plus_high_top5,293,865,2.95221843003413,86500,85710,-790,0.9908670520231214,0.7529479768786127,10,0.011560693641618497,0.034129692832764506,141.35537572254336,153.3,0.5462237031717939,20580,0.24011200560028,2026-01
middle_plus_high_top5,278,808,2.906474820143885,80800,57660,-23140,0.7136138613861386,0.499009900990099,10,0.012376237623762377,0.03597122302158273,136.04282178217824,146.5,0.5385651032679695,17340,0.3007284079084287,2026-02
middle_plus_high_top5,343,1218,3.5510204081632653,121800,216320,94520,1.7760262725779967,1.6138752052545156,17,0.013957307060755337,0.04956268221574344,147.78103448275863,156.35000000000002,0.508905644674106,19750,0.09129992603550297,2026-03
middle_plus_high_top5,287,843,2.937282229965157,84300,93230,8930,1.1059311981020166,0.8696322657176749,10,0.011862396204033215,0.03484320557491289,138.74104389086594,149.7,0.5403998880739131,19920,0.21366512925024134,2026-04
middle_plus_high_top5,329,1091,3.316109422492401,109100,82360,-26740,0.754903758020165,0.6183318056828597,10,0.00916590284142988,0.030395136778115502,144.65930339138407,153.8,0.5162894805686502,14900,0.18091306459446332,2026-05
middle_plus_high_top5,290,1031,3.5551724137931036,103100,143040,39940,1.3873908826382153,1.184772065955383,12,0.011639185257032008,0.041379310344827586,154.43773035887486,163.9,0.5001666664345973,20890,0.1460430648769575,2026-06
