rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month
high_odds_v1_top2,141,281,1.9929078014184398,28100,31500,3400,1.1209964412811388,0.7405693950177936,3,0.010676156583629894,0.02127659574468085,0.5407560760491359,0.4511944799423767,0.5400746762495401,0.410921809946838,113.48718861209964,107.6,6102.672115368256,10690,0.33936507936507937,2026-01
high_odds_v1_top2,137,272,1.9854014598540146,27200,11790,-15410,0.4334558823529412,0.0,1,0.003676470588235294,0.0072992700729927005,0.5861635753090427,0.450095168021299,0.5259066163764822,0.4071443592420092,116.74522058823528,110.25,6113.848752054222,11790,1.0,2026-02
high_odds_v1_top2,222,443,1.9954954954954955,44300,43830,-470,0.9893905191873589,0.7266365688487585,4,0.009029345372460496,0.018018018018018018,0.5753563323643421,0.4500906629413549,0.5298237749890777,0.4005393133331908,117.55395033860044,111.4,6212.187275715247,11640,0.2655715263518138,2026-03
high_odds_v1_top2,142,282,1.9859154929577465,28200,34390,6190,1.2195035460992907,0.7187943262411347,3,0.010638297872340425,0.02112676056338028,0.5472684262253681,0.453826787540355,0.5365427383126399,0.4007154100445854,115.26099290780141,109.5,6159.664242778609,14120,0.4105844722302995,2026-04
high_odds_v1_top2,198,394,1.9898989898989898,39400,80360,40960,2.0395939086294415,1.6794416243654822,7,0.017766497461928935,0.03535353535353535,0.5863153140689551,0.4503698939301759,0.5237487596074519,0.4036579556339311,117.5010152284264,109.4,6119.534891485198,14190,0.17658038825286212,2026-05
high_odds_v1_top2,188,373,1.9840425531914894,37300,44440,7140,1.1914209115281502,0.7187667560321715,3,0.00804289544235925,0.015957446808510637,0.5982317154752332,0.4520959807177081,0.5298669998978841,0.4120538287308167,118.14932975871312,108.9,6238.51048253605,17630,0.39671467146714673,2026-06
high_odds_v1_top5,141,691,4.900709219858156,69100,67570,-1530,0.9778581765557164,0.6800289435600579,4,0.005788712011577424,0.028368794326241134,0.5410189299950288,0.4511944799423767,0.45506079998121846,0.4000902383972077,169.3066570188133,168.0,7611.612467158424,20580,0.30457303537072666,2026-01
high_odds_v1_top5,137,658,4.802919708029197,65800,33370,-32430,0.5071428571428571,0.24361702127659574,2,0.00303951367781155,0.014598540145985401,0.5870595493581077,0.450095168021299,0.4542055409740995,0.4001936515747565,160.13662613981762,159.5,7198.519179211499,17340,0.5196284087503746,2026-02
high_odds_v1_top5,222,1073,4.833333333333333,107300,203810,96510,1.8994408201304753,1.7153774464119291,13,0.012115563839701771,0.05855855855855856,0.5755573765086777,0.4500906629413549,0.45491115729948234,0.4001597971525659,163.65107176141663,162.6,7380.946601462126,19750,0.09690397919631029,2026-03
high_odds_v1_top5,142,686,4.830985915492958,68600,78000,9400,1.1370262390670554,0.8466472303206997,5,0.007288629737609329,0.035211267605633804,0.5484588343633493,0.453826787540355,0.45623668076346285,0.4000112752891799,163.53979591836736,163.45,7382.930343039004,19920,0.2553846153846154,2026-04
high_odds_v1_top5,198,939,4.742424242424242,93900,67260,-26640,0.7162939297124601,0.5576144834930777,5,0.005324813631522897,0.025252525252525252,0.5870164267668339,0.4503698939301759,0.4527132984760975,0.4000373373412313,163.163684771033,162.4,7323.452701620128,14900,0.2215283972643473,2026-05
high_odds_v1_top5,188,919,4.888297872340425,91900,127870,35970,1.3914036996735581,1.1640914036996735,7,0.007616974972796518,0.03723404255319149,0.5988671001311914,0.4520959807177081,0.450422644836244,0.4000257053641937,169.56300326441783,167.8,7582.679087832212,20890,0.16336904668804253,2026-06
