strategy,races,tickets,avg_tickets,bet,return,profit,roi,roi_wo_max,hits,hit_rate,avg_bet_race,max_drawdown,max_losing_streak
B_middle100_high50_top5,1820,5856,3.2175824175824177,337300,389380,52080,1.1544026089534538,1.1234361102875778,69,0.0117827868852459,185.32967032967034,-28620,104
C_middle100_high100_top5,1820,5856,3.2175824175824177,585600,678320,92720,1.1583333333333334,1.122660519125683,69,0.0117827868852459,321.75824175824175,-64670,104
F_middle100_high100_top2_score,1820,2935,1.6126373626373627,293500,346750,53250,1.1814310051107326,1.1213628620102214,54,0.018398637137989778,161.26373626373626,-38570,110
A_middle_only_100,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,104.21545667447307,-15300,147
D_middle100_high100_top5_race>=0.50,1598,4684,2.9311639549436794,468400,492140,23740,1.0506831767719897,1.0060845431255336,57,0.012169086251067465,293.11639549436796,-75320,116
D_middle100_high100_top5_race>=0.55,1402,3674,2.6205420827389445,367400,374960,7560,1.0205770277626565,0.9645617855198694,50,0.013609145345672292,262.05420827389446,-58630,102
D_middle100_high100_top5_race>=0.60,1229,2784,2.2652563059397886,278400,281000,2600,1.0093390804597702,0.9368175287356322,44,0.015804597701149427,226.52563059397883,-50660,107
E_middle100_high100_top2_expected,1820,2935,1.6126373626373627,293500,280370,-13130,0.9552640545144804,0.885144804088586,43,0.01465076660988075,161.26373626373626,-49060,187
