feature,importance
sum_gear,0.03096862947309902
max_score,0.02430614625615749
avg_score,0.023135440073351714
std_score,0.022674272153445477
min_score,0.022308124065828494
sum_place_rate_raw,0.02161266894401805
score_gap,0.021502342639671643
sum_quinella_rate_raw,0.020746716802367948
racer_count,0.02040007562950754
recent_mark_share,0.019327052483618348
recent_sashi_share,0.01882349897240695
recent_makuri_share,0.01829839176219586
avg_age,0.017996411144894496
sum_out_count,0.017631233685273296
recent_nige_share,0.01758652231915521
max_quinella_rate_raw,0.016742105085916253
avg_quinella_rate_raw,0.016642970078634377
sum_win_rate_raw,0.016613530217983973
avg_place_rate,0.01660076727441643
avg_place_rate_raw,0.0164288917943243
min_place_rate_raw,0.016287899548064644
avg_win_rate_raw,0.01592562137369163
max_win_rate_raw,0.015672529375734337
avg_win_rate,0.015580838829914026
avg_out_count,0.015522628116284886
day,0.015392852871359412
max_win_rate,0.015332482374607869
max_place_rate_raw,0.01510527064144029
max_place_rate,0.015099018309975171
sum_start_count,0.014409757772009642
recent_move_total,0.014254570424516848
avg_start_count,0.014117181015317929
min_quinella_rate_raw,0.01398205938144616
sum_third_count,0.013645133158418924
avg_back_count,0.013556796456071248
avg_third_count,0.01310789775690269
sum_recent_sashi,0.013105996536066864
sum_back_count,0.012961852626807597
avg_recent_sashi,0.01222384850796854
sum_second_count,0.011968597890788765
max_out_count,0.011952441947985256
avg_second_count,0.01180827211005551
sum_first_count,0.011740895047106764
avg_first_count,0.011561507005092736
month,0.011526938463942241
avg_gear,0.011418104236860908
wind_speed,0.011248473943992957
max_back_count,0.010967250927942157
avg_recent_makuri,0.010904604432335261
avg_recent_nige,0.010643251945841304
sum_recent_makuri,0.0105646668517426
max_start_count,0.01050584030780238
avg_recent_mark,0.010444405211768978
race_no,0.01018350209927681
sum_recent_mark,0.009917573276714423
sum_recent_nige,0.009416228843830749
max_recent_nige,0.008832160011443687
min_out_count,0.008563985721696728
max_recent_sashi,0.008012952894217325
max_second_count,0.007611647220599644
max_first_count,0.0075432436379636175
max_recent_makuri,0.007431194939881043
max_third_count,0.007256835407438908
max_recent_mark,0.00627482679478088
min_win_rate_raw,0.00610398230475832
held_no,0.005678415227534406
ryo_count,0.005325441426664093
year,0.005175857981382826
oikomi_count,0.00512743969536951
front_runner_pressure,0.00470717574564487
min_third_count,0.004274107150707703
nige_count,0.004047235576111551
min_gear,0.00380888573208729
min_second_count,0.003491281656088163
max_gear,0.002454032820185144
weather_晴,0.0021439923918603458
min_first_count,0.0020737065739286228
weather_曇,0.0020264066321332114
is_sunny,0.002006348277427104
is_cloudy,0.0019025856077755391
min_start_count,0.0018026577754773677
min_recent_sashi,0.0015845078393193497
weather_unknown,0.0009698243415519716
is_rain,0.0008737329890509643
weather_雨,0.0007298222792106057
is_strong_wind,0.00043436122138701416
place_kochi,0.00041251881362197655
place_yahiko,0.0004039172308048197
place_tamano,0.0003934036031230456
place_ito,0.00037993204789426254
place_beppu,0.0003739005123511837
place_hakodate,0.0003229955704851583
place_matsusaka,0.0003097400400449639
place_keiokaku,0.0003089269709061899
place_kokura,0.00029642706000754704
place_kurume,0.0002790770415626752
place_gifu,0.0002765872804908092
min_recent_mark,0.00026132367641868256
place_maebashi,0.0002449769161572675
place_kishiwada,0.00024217162652645188
place_kawasaki,0.00023954756821912383
place_nara,0.0002346011955663886
place_komatsushima,0.00023457660732540946
place_matsudo,0.00022899874106272576
place_odawara,0.00022747477057922225
place_utsunomiya,0.000223320246977161
place_shizuoka,0.0002167727700921855
place_takeo,0.0002004261929117076
place_mukomachi,0.00019565852792180247
place_seibuen,0.00019464791634279257
place_aomori,0.00019360553719484976
place_ogaki,0.00019108170492358612
place_hiratsuka,0.00017030848633673877
place_fukui,0.00016900101741965733
place_toyama,0.0001637825840045913
place_yokkaichi,0.00016240088149664907
place_matsuyama,0.0001601845809367842
place_nagoya,0.00015534078739072149
place_toyohashi,0.0001543148671340188
place_takamatsu,0.00014636247150857248
place_tachikawa,0.0001251371527498959
place_toride,0.0001229130988657604
place_iwakitaira,0.00011998838604871942
place_sasebo,0.00010955186513187939
place_omiya,9.49481259462444e-05
place_wakayama,8.988898766435421e-05
place_hofu,7.597332877913891e-05
place_kumamoto,6.714081700674341e-05
min_back_count,6.437808197026403e-05
min_recent_makuri,6.352006073239027e-05
place_hiroshima,2.1975070097785238e-05
min_recent_nige,5.050829643900234e-06
makuri_count,0.0
day_no,0.0
sashi_count,0.0
is_very_strong_wind,0.0
is_snow,0.0
place_nan,0.0
weather_雪,0.0
weather_nan,0.0
