rule,race_id,combination,race_date,odds,estimated_payout,is_hit,hit_payout,hit_popularity,return_yen,direct_ticket_score,direct_expected_return,direct_ticket_rank,direct_expected_rank,race_score,month,day,expected_return
high_odds_v1_top2,1120260514020007,7-4-1,2026-05-15,116.5,11650,0,570.0,1.0,0.0,0.5163434552016251,6015.401253098932,26,278,0.6024553953486244,2026-05,2026-05-15,6015.401253098932
high_odds_v1_top2,1120260514020007,7-5-4,2026-05-15,110.8,11080,0,570.0,1.0,0.0,0.5079396249094826,5627.971043997068,27,303,0.6024553953486244,2026-05,2026-05-15,5627.971043997067
high_odds_v1_top2,1120260514020008,2-4-8,2026-05-15,106.0,10600,1,10600.0,38.0,10600.0,0.5893719741449089,6247.342925936035,30,226,0.5115758503012651,2026-05,2026-05-15,6247.342925936035
high_odds_v1_top2,1120260514020008,2-4-7,2026-05-15,119.8,11980,0,10600.0,38.0,0.0,0.5736861953595657,6872.760620407596,32,193,0.5115758503012651,2026-05,2026-05-15,6872.760620407596
high_odds_v1_top2,1120260514020011,1-9-3,2026-05-15,106.9,10690,0,1310.0,3.0,0.0,0.5583619767140616,5968.889531073319,16,229,0.4735652748001505,2026-05,2026-05-15,5968.88953107332
high_odds_v1_top2,1120260514020011,5-4-1,2026-05-15,120.0,12000,0,1310.0,3.0,0.0,0.5511800863065058,6614.16103567807,17,192,0.4735652748001505,2026-05,2026-05-15,6614.16103567807
high_odds_v1_top2,1120260514020012,3-2-9,2026-05-15,100.0,10000,0,3370.0,10.0,0.0,0.4697189699546958,4697.189699546958,31,154,0.4614773879380732,2026-05,2026-05-15,4697.189699546958
high_odds_v1_top2,1120260514020012,7-2-1,2026-05-15,103.9,10390,0,3370.0,10.0,0.0,0.4577984760013841,4756.526165654381,32,150,0.4614773879380732,2026-05,2026-05-15,4756.526165654381
high_odds_v1_top2,1120260514030001,3-7-1,2026-05-16,106.2,10620,0,2000.0,3.0,0.0,0.5263546809240182,5589.886711413073,29,306,0.5833182114645035,2026-05,2026-05-16,5589.8867114130735
high_odds_v1_top2,1120260514030001,3-5-1,2026-05-16,134.4,13440,0,2000.0,3.0,0.0,0.5144567251978374,6914.298386658934,31,229,0.5833182114645035,2026-05,2026-05-16,6914.298386658935
high_odds_v1_top2,1120260514030002,8-4-6,2026-05-16,105.4,10540,0,42320.0,128.0,0.0,0.5381507146759383,5672.10853268439,26,279,0.4559818335667486,2026-05,2026-05-16,5672.10853268439
high_odds_v1_top2,1120260514030002,5-1-7,2026-05-16,128.2,12820,0,42320.0,128.0,0.0,0.5127744855019664,6573.768904135209,27,218,0.4559818335667486,2026-05,2026-05-16,6573.768904135209
high_odds_v1_top2,1120260514030003,3-7-8,2026-05-16,113.4,11340,0,2380.0,3.0,0.0,0.5035802943825369,5710.600538297968,29,185,0.5057266107882473,2026-05,2026-05-16,5710.600538297969
high_odds_v1_top2,1120260514030003,9-8-7,2026-05-16,114.3,11430,0,2380.0,3.0,0.0,0.5004450925577213,5720.087407934754,30,183,0.5057266107882473,2026-05,2026-05-16,5720.087407934754
high_odds_v1_top2,1120260514030004,2-3-1,2026-05-16,102.6,10260,0,59590.0,106.0,0.0,0.5076231154865044,5208.213164891536,30,239,0.5687351352922831,2026-05,2026-05-16,5208.213164891535
high_odds_v1_top2,1120260514030004,5-3-2,2026-05-16,118.3,11830,0,59590.0,106.0,0.0,0.5033077135573181,5954.130251383072,31,192,0.5687351352922831,2026-05,2026-05-16,5954.130251383073
high_odds_v1_top2,1120260514030005,2-5-7,2026-05-16,100.4,10040,0,73290.0,178.0,0.0,0.5825526924268383,5848.829031965456,23,212,0.532612062015183,2026-05,2026-05-16,5848.829031965457
high_odds_v1_top2,1120260514030005,1-2-9,2026-05-16,115.0,11500,0,73290.0,178.0,0.0,0.5719901974961888,6577.887271206172,25,173,0.532612062015183,2026-05,2026-05-16,6577.887271206171
high_odds_v1_top2,1120260514030006,3-8-7,2026-05-16,119.4,11940,1,11940.0,31.0,11940.0,0.4982907524346442,5949.5915840696525,21,259,0.5633329497299189,2026-05,2026-05-16,5949.591584069652
high_odds_v1_top2,1120260514030006,1-7-2,2026-05-16,107.7,10770,0,11940.0,31.0,0.0,0.4925870901924698,5305.1629613729,23,304,0.5633329497299189,2026-05,2026-05-16,5305.1629613729
high_odds_v1_top2,1120260514030007,2-9-8,2026-05-16,104.8,10480,0,2810.0,4.0,0.0,0.5803668481935551,6082.244569068457,31,329,0.6232819376686303,2026-05,2026-05-16,6082.244569068457
high_odds_v1_top2,1120260514030007,2-9-4,2026-05-16,100.1,10010,0,2810.0,4.0,0.0,0.5780943988142847,5786.72493213099,32,351,0.6232819376686303,2026-05,2026-05-16,5786.72493213099
high_odds_v1_top2,1120260514030008,5-1-2,2026-05-16,104.1,10410,0,36130.0,133.0,0.0,0.5894071018010573,6135.727929749006,28,252,0.6704579741120317,2026-05,2026-05-16,6135.727929749006
high_odds_v1_top2,1120260514030008,5-1-3,2026-05-16,101.1,10110,0,36130.0,133.0,0.0,0.5888086568971304,5952.855521229988,30,264,0.6704579741120317,2026-05,2026-05-16,5952.855521229988
high_odds_v1_top2,1120260514030009,7-1-2,2026-05-16,101.7,10170,0,7040.0,14.0,0.0,0.5714877264877103,5812.030178380013,23,387,0.6266415001600135,2026-05,2026-05-16,5812.030178380014
high_odds_v1_top2,1120260514030009,5-7-1,2026-05-16,101.9,10190,0,7040.0,14.0,0.0,0.5711964139966769,5820.4914586261375,24,385,0.6266415001600135,2026-05,2026-05-16,5820.4914586261375
high_odds_v1_top2,1120260514030011,5-2-9,2026-05-16,108.4,10840,0,3920.0,9.0,0.0,0.6261470741012679,6787.434283257744,26,183,0.4671809584846809,2026-05,2026-05-16,6787.434283257744
high_odds_v1_top2,1120260514030011,8-2-4,2026-05-16,105.8,10580,0,3920.0,9.0,0.0,0.5819259065278193,6156.776091064328,31,212,0.4671809584846809,2026-05,2026-05-16,6156.776091064328
