strategy,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_odds,median_odds,avg_score,max_hit_payout,max_hit_share,max_losing_streak_races,max_drawdown,worst_day_profit,best_day_profit,deduplicated_tickets
direct_v1_middle_odds,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,30.352584269662923,30.4,0.9084757893599266,3390,0.03375149342891278,,,,,
high_odds_v1_top5,1028,4966,4.830739299610895,496600,577880,81280,1.1636729762384213,1.1216069271043092,36,0.00724929520741039,0.03501945525291829,164.9588803866291,163.9,0.45377537080298497,20890,0.036149373572367964,,,,,
middle_plus_high_top5,1820,5856,3.2175824175824177,585600,678320,92720,1.1583333333333334,1.122660519125683,69,0.0117827868852459,0.03791208791208791,144.50129781420765,155.0,0.5228811379675475,20890,0.030796674136100956,104.0,-64670.0,-9500.0,41780.0,0.0
