rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month_min_roi,month_mean_roi,month_count,plus_months,enough_hits
odds_300_3000_race>=0.3_score>=0.2_expected>=10000_top3_by_direct_expected_return,157,367,2.337579617834395,36700,350210,313510,9.542506811989101,6.138147138964578,3,0.008174386920980926,0.01910828025477707,1.0,1.0,0.25238433756855316,0.2000400479025765,872.2138964577657,1025.3,21364.53078888907,124940,0.3567573741469404,0.0,10.179736998467648,6,3,False
odds_300_3000_race>=0.4_score>=0.2_expected>=10000_top3_by_direct_expected_return,157,367,2.337579617834395,36700,350210,313510,9.542506811989101,6.138147138964578,3,0.008174386920980926,0.01910828025477707,1.0,1.0,0.25238433756855316,0.2000400479025765,872.2138964577657,1025.3,21364.53078888907,124940,0.3567573741469404,0.0,10.179736998467648,6,3,False
odds_300_3000_race>=0.45_score>=0.2_expected>=10000_top3_by_direct_expected_return,157,367,2.337579617834395,36700,350210,313510,9.542506811989101,6.138147138964578,3,0.008174386920980926,0.01910828025477707,1.0,1.0,0.25238433756855316,0.2000400479025765,872.2138964577657,1025.3,21364.53078888907,124940,0.3567573741469404,0.0,10.179736998467648,6,3,False
odds_300_3000_race>=0.5_score>=0.2_expected>=10000_top3_by_direct_expected_return,157,367,2.337579617834395,36700,350210,313510,9.542506811989101,6.138147138964578,3,0.008174386920980926,0.01910828025477707,1.0,1.0,0.25238433756855316,0.2000400479025765,872.2138964577657,1025.3,21364.53078888907,124940,0.3567573741469404,0.0,10.179736998467648,6,3,False
odds_300_3000_race>=0.55_score>=0.2_expected>=10000_top3_by_direct_expected_return,157,367,2.337579617834395,36700,350210,313510,9.542506811989101,6.138147138964578,3,0.008174386920980926,0.01910828025477707,1.0,1.0,0.25238433756855316,0.2000400479025765,872.2138964577657,1025.3,21364.53078888907,124940,0.3567573741469404,0.0,10.179736998467648,6,3,False
odds_300_3000_race>=0.6_score>=0.2_expected>=10000_top3_by_direct_expected_return,157,367,2.337579617834395,36700,350210,313510,9.542506811989101,6.138147138964578,3,0.008174386920980926,0.01910828025477707,1.0,1.0,0.25238433756855316,0.2000400479025765,872.2138964577657,1025.3,21364.53078888907,124940,0.3567573741469404,0.0,10.179736998467648,6,3,False
odds_200_2000_race>=0.3_score>=0.2_expected>=10000_top3_by_direct_expected_return,163,378,2.3190184049079754,37800,350210,312410,9.264814814814814,5.95952380952381,3,0.007936507936507936,0.018404907975460124,1.0,1.0,0.2582604483257319,0.2000400479025765,835.4714285714284,1019.2,20625.006839449965,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_200_2000_race>=0.4_score>=0.2_expected>=10000_top3_by_direct_expected_return,163,378,2.3190184049079754,37800,350210,312410,9.264814814814814,5.95952380952381,3,0.007936507936507936,0.018404907975460124,1.0,1.0,0.2582604483257319,0.2000400479025765,835.4714285714284,1019.2,20625.006839449965,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_200_2000_race>=0.45_score>=0.2_expected>=10000_top3_by_direct_expected_return,163,378,2.3190184049079754,37800,350210,312410,9.264814814814814,5.95952380952381,3,0.007936507936507936,0.018404907975460124,1.0,1.0,0.2582604483257319,0.2000400479025765,835.4714285714284,1019.2,20625.006839449965,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_200_2000_race>=0.5_score>=0.2_expected>=10000_top3_by_direct_expected_return,163,378,2.3190184049079754,37800,350210,312410,9.264814814814814,5.95952380952381,3,0.007936507936507936,0.018404907975460124,1.0,1.0,0.2582604483257319,0.2000400479025765,835.4714285714284,1019.2,20625.006839449965,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_200_2000_race>=0.55_score>=0.2_expected>=10000_top3_by_direct_expected_return,163,378,2.3190184049079754,37800,350210,312410,9.264814814814814,5.95952380952381,3,0.007936507936507936,0.018404907975460124,1.0,1.0,0.2582604483257319,0.2000400479025765,835.4714285714284,1019.2,20625.006839449965,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_200_2000_race>=0.6_score>=0.2_expected>=10000_top3_by_direct_expected_return,163,378,2.3190184049079754,37800,350210,312410,9.264814814814814,5.95952380952381,3,0.007936507936507936,0.018404907975460124,1.0,1.0,0.2582604483257319,0.2000400479025765,835.4714285714284,1019.2,20625.006839449965,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_100plus_race>=0.3_score>=0.2_expected>=10000_top3_by_direct_expected_return,164,380,2.317073170731707,38000,350210,312210,9.216052631578947,5.9281578947368425,3,0.007894736842105263,0.018292682926829267,1.0,1.0,0.2581625197443087,0.2000400479025765,863.3623684210527,1022.55,21239.434952147247,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_100plus_race>=0.4_score>=0.2_expected>=10000_top3_by_direct_expected_return,164,380,2.317073170731707,38000,350210,312210,9.216052631578947,5.9281578947368425,3,0.007894736842105263,0.018292682926829267,1.0,1.0,0.2581625197443087,0.2000400479025765,863.3623684210527,1022.55,21239.434952147247,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_100plus_race>=0.45_score>=0.2_expected>=10000_top3_by_direct_expected_return,164,380,2.317073170731707,38000,350210,312210,9.216052631578947,5.9281578947368425,3,0.007894736842105263,0.018292682926829267,1.0,1.0,0.2581625197443087,0.2000400479025765,863.3623684210527,1022.55,21239.434952147247,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_100plus_race>=0.5_score>=0.2_expected>=10000_top3_by_direct_expected_return,164,380,2.317073170731707,38000,350210,312210,9.216052631578947,5.9281578947368425,3,0.007894736842105263,0.018292682926829267,1.0,1.0,0.2581625197443087,0.2000400479025765,863.3623684210527,1022.55,21239.434952147247,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
odds_100plus_race>=0.55_score>=0.2_expected>=10000_top3_by_direct_expected_return,164,380,2.317073170731707,38000,350210,312210,9.216052631578947,5.9281578947368425,3,0.007894736842105263,0.018292682926829267,1.0,1.0,0.2581625197443087,0.2000400479025765,863.3623684210527,1022.55,21239.434952147247,124940,0.3567573741469404,0.0,9.908475215379502,6,3,False
