feature,importance
sum_gear,0.02693606882377915
avg_score,0.024464338139938285
std_score,0.023882186235434352
max_score,0.023369210524272564
min_score,0.023218637938217154
score_gap,0.022305790111752478
sum_place_rate_raw,0.021747157040593195
sum_quinella_rate_raw,0.020435176306182228
recent_sashi_share,0.01926779475490483
recent_mark_share,0.018558486663026702
avg_age,0.018494885268856422
recent_makuri_share,0.018422331014101893
recent_nige_share,0.01818350268050247
max_quinella_rate_raw,0.01802045565665029
sum_win_rate_raw,0.017371429058855484
sum_out_count,0.017304799324249515
avg_quinella_rate_raw,0.017166558605313704
avg_place_rate_raw,0.016884131080772212
max_win_rate,0.01687046945300985
min_place_rate_raw,0.016870312207594516
avg_win_rate,0.016798296465197093
avg_place_rate,0.01676878787112073
racer_count,0.01665587114471155
avg_win_rate_raw,0.01664064980650422
max_win_rate_raw,0.016518822164724164
max_place_rate,0.016148934674152196
avg_out_count,0.015817806627204778
max_place_rate_raw,0.015752504043237404
day,0.015428700069737738
min_quinella_rate_raw,0.014964839066688442
avg_start_count,0.014361315676340981
sum_third_count,0.01423435573402528
recent_move_total,0.014195049462789272
sum_start_count,0.01393868056891264
avg_back_count,0.013898015110854131
sum_back_count,0.013403641356995531
avg_third_count,0.012774546493090634
sum_recent_sashi,0.012639087674120466
sum_second_count,0.012057782120398304
avg_second_count,0.011959683523989652
max_out_count,0.01149579443574384
month,0.01148163590093844
wind_speed,0.011470174589371647
avg_recent_sashi,0.011458366397692116
avg_first_count,0.011209644766560013
sum_first_count,0.011137492748877043
avg_gear,0.011133614416951532
max_back_count,0.010894150963799617
avg_recent_nige,0.010806152198331415
max_start_count,0.01080369448441905
avg_recent_makuri,0.010499587397253424
sum_recent_makuri,0.01006595529531323
sum_recent_nige,0.009800248923360648
avg_recent_mark,0.009800242881418649
sum_recent_mark,0.009775504785959245
race_no,0.009565755604241416
max_recent_nige,0.009160547874756515
min_out_count,0.008635262652747161
max_first_count,0.008390894906145334
max_recent_sashi,0.007499188284978288
max_recent_makuri,0.007413681580693816
max_second_count,0.006963415870066572
max_third_count,0.006696816990279813
min_win_rate_raw,0.006254737486713446
max_recent_mark,0.006229963005535213
ryo_count,0.005724957883544279
year,0.0052137554623061175
oikomi_count,0.005081569137584496
front_runner_pressure,0.004794565711381344
held_no,0.004525719378124349
nige_count,0.004422052640210311
min_gear,0.004331233894346852
min_third_count,0.003756245373211341
min_second_count,0.0033564364796328317
max_gear,0.002418672152549185
is_sunny,0.0024022025124395474
weather_晴,0.00231325851448553
min_first_count,0.002052158313928908
weather_曇,0.0016993816950057845
is_cloudy,0.001672649204151144
min_start_count,0.0014472319624366037
min_recent_sashi,0.0012784119502370138
weather_unknown,0.0008651739410512003
is_rain,0.0006393749052502406
weather_雨,0.0005712007530662595
is_strong_wind,0.00046821070484331755
place_tamano,0.0003430244313321114
place_kokura,0.0003051938286944529
place_ogaki,0.0002880919825067793
place_ito,0.00027736906780952066
place_kochi,0.00026859778189376407
place_kawasaki,0.00024079739379295176
place_maebashi,0.00024008904799188352
place_beppu,0.00023684892808886821
place_kumamoto,0.00023102434386980202
place_nara,0.00022872169548261495
place_hakodate,0.00022174435611514498
place_takamatsu,0.00021764523918106697
place_komatsushima,0.00021399128673339573
place_matsusaka,0.00021315924721278015
place_matsudo,0.0002079812138173741
place_kishiwada,0.0002075667721338639
place_kurume,0.00019837062540230927
min_recent_mark,0.00019490081689347
place_keiokaku,0.00017934909256731358
place_seibuen,0.0001791728545294503
place_odawara,0.00017609720712955865
place_yokkaichi,0.0001743019065431663
place_sasebo,0.00016607599283891003
place_takeo,0.00016345347860887094
place_tachikawa,0.000155774836252314
place_iwakitaira,0.00015342794095724613
place_toride,0.00015172002832459003
place_hiratsuka,0.00015145882355452575
place_utsunomiya,0.00014517428552007615
place_aomori,0.00014189361264624385
place_toyohashi,0.0001397886210863485
place_toyama,0.00013248287970883392
place_nagoya,0.00012637693825264565
place_gifu,0.00012627617311318
place_matsuyama,0.0001253401071319303
place_shizuoka,0.00010479958293400232
place_yahiko,0.00010212615319107051
place_wakayama,0.00010151554961574092
place_fukui,9.008281649275571e-05
place_hofu,5.982398311422787e-05
min_back_count,5.392848354914844e-05
place_omiya,4.9587870957803354e-05
min_recent_makuri,4.801535278236054e-05
place_mukomachi,4.326137895001682e-05
place_hiroshima,9.64777555279485e-06
is_very_strong_wind,5.850660406069599e-06
day_no,0.0
sashi_count,0.0
makuri_count,0.0
min_recent_nige,0.0
is_snow,0.0
place_nan,0.0
weather_雪,0.0
weather_nan,0.0
