race_id,combination,payout,popularity,result_top3,top3_match
2620241129010006,6-3-1,3860,23,6-3-1-2,False
2620260215020009,2-4-1,1970,3,,False
2620260215020010,4-3-2,1860,7,2-4-1,False
2620260312010009,7-2-1,6400,41,7-2-1-8,False
2620260312020005,2-7-1,810,3,2-7-1-5,False
2720240101030005,2-1-3,4410,25,2-1-3-6,False
2720241026040012,5-9-3,14130,95,5-9-3-7,False
2720250307030003,4-5-1,220,1,4-5-1-2,False
2720251002040011,3-6-2,5220,30,3-6-2-7,False
2720260610010004,2-4-1,220,2,2-4-1-7,False
2720260617010001,5-1-7,1930,7,,False
2720260617010002,2-7-4,33680,33,5-1-7,False
2720260617010003,5-2-4,390,1,2-7-4,False
2720260617010004,2-3-5,97280,125,5-2-4,False
2720260617010005,5-2-4,1060,3,2-3-5,False
2720260617010006,5-4-7,53080,111,5-2-4,False
2720260617010007,2-5-3,720,2,5-4-7,False
2720260617010008,7-4-5,44230,106,2-5-3,False
2720260617010009,4-1-3,1470,4,7-4-5,False
2720260617010010,3-4-6,920,3,4-1-3,False
2720260617010011,1-5-7,87020,204,3-4-6,False
2820240830030009,4-1-3,10840,38,2-7,False
2820240830030010,4-2-3,7540,54,4-1-3,False
2820260119030009,1-2-6,6210,24,1-2-6-7,False
2820260328030009,2-5-1,420,3,2-5-1-6,False
3120240401010002,4-1-2,910,4,4-1-2-5,False
3120240918010007,2-1-3,450,2,2-1-3-5,False
3120241015030007,3-1-2,1240,8,3-1-2-6,False
3120250422030005,4-2-6,5020,16,,False
3120250422030006,5-3-1,800,1,4-2-6,False
3120250422030007,2-6-1,37750,74,5-3-1,False
3120250422030008,1-2-5,2880,8,2-6-1,False
3120250422030009,4-3-1,3780,10,1-2-5,False
3120250422030010,3-7-4,5400,11,4-3-1,False
3120251126030005,2-5-7,28750,85,,False
3120251126030006,3-7-2,199880,132,2-5-7,False
3120251126030007,5-4-1,2860,10,3-7-2,False
3120251126030008,7-5-4,35770,107,5-4-1,False
3120251126030009,6-2-3,100900,133,7-5-4,False
3120251126030010,3-4-5,16990,55,6-2-3,False
3120251126030011,1-3-2,17890,83,3-4-5,False
3120260531030006,4-7-1,12230,51,,False
3120260531030007,2-7-3,22250,73,4-7-1,False
3120260531030008,1-7-3,1070,6,2-7-3,False
3120260531030009,7-3-1,10700,42,1-7-3,False
3120260531030010,5-3-4,11670,22,7-3-1,False
3120260615030003,2-3-1,1710,9,2-3-1-7,False
3420231124030002,2-1-3,1030,6,2-1-3-5,False
3420240118020011,7-3-1,7430,39,7-3-1-8,False
3420240929020009,1-2-5,5320,33,1-2-5-7,False
3420241011010009,1-4-3,17150,76,1-4-3-9,False
3420241130010004,1-2-3,140,1,1-2-3-4,False
3420250607020004,1-2-3,300,3,1-2-3-7,False
3520231106030012,2-3-1,3560,19,2-3-1-7,False
3520250728010003,1-6-7,440,1,,False
3520250728010004,1-4-5,31910,99,1-6-7,False
3520250728010005,4-2-6,3410,13,1-4-5,False
3520250728010006,3-5-4,1570,5,4-2-6,False
3520250728010007,1-2-4,260,1,3-5-4,False
3520250728010008,1-5-3,840,2,1-2-4,False
3620240531030002,4-6-1,4230,29,4-6-1-3,False
3620240921030012,4-1-2,12760,63,4-1-2-3,False
3620240930030001,5-3-7,61590,115,1-3,False
3620240930030002,3-2-1,17570,72,5-3-7,False
3620240930030003,7-1-3,340,1,3-2-1,False
3620240930030004,7-3-6,24390,95,7-1-3,False
3620240930030005,5-6-4,15670,48,7-3-6,False
3620240930030006,5-1-4,1380,4,5-6-4,False
3720230216010006,5-1-7,57200,173,5-1-7-8,False
3720230216030006,1-8-6,13340,71,1-8-6-9,False
3720230529010001,7-1-2,7150,44,7-1-2-3,False
3720240106030001,3-5-4,1210,7,3-5-4-6,False
3720240106030006,1-3-2,2340,17,1-3-2-5,False
3720241102010004,1-3-2,350,2,1-3-2-4,False
3720250405010012,2-7-1,3000,19,2-7-1-3,False
3720250517030002,2-7-1,33530,85,1-6,False
3720250517030003,1-2-4,320,1,2-7-1,False
3720250517030004,5-3-1,6040,17,1-2-4,False
3720250517030005,1-4-7,23730,81,5-3-1,False
3720250517030006,1-3-4,1030,1,1-4-7,False
3720250517030007,1-2-4,510,2,1-3-4,False
3720250517030008,1-7-5,600,2,1-2-4,False
3720260116020008,4-6-2,5980,40,4-6-2-3,False
3720260201010004,2-1-3,590,2,,False
3720260201010005,2-1-5,210,1,2-1-3,False
3720260201010006,2-7-1,7030,16,2-1-5,False
3720260413030003,1-7-3,4870,30,1-7-3-4,False
3720260418030011,1-4-5,820,7,1-4-5-7,False
3820230429030001,5-2-3,5230,31,5-2-3-4,False
3820230707010005,6-5-3,5540,26,6-5-3-4,False
3820230714010003,7-5-2,2180,12,7-5-2-3,False
3820250711010009,7-5-1,1500,8,7-5-1-3,False
3820251009020001,2-1-3,340,1,2-1-3-5,False
3820260524020003,4-7-1,36940,161,4-7-1-6,False
4220230206010005,5-1-4,250,2,5-1-4-6,False
4220230214030008,4-5-3,2830,13,4-5-3-7,False
4220230309020003,3-1-7,24600,61,,False
4220230309020004,1-4-2,530,1,3-1-7,False
4220230309020005,6-2-4,5670,23,1-4-2,False
4220230309020006,4-7-3,33670,98,6-2-4,False
4220230309020007,7-4-2,670,1,4-7-3,False
4220230309020008,1-7-6,5760,23,7-4-2,False
4220230309020009,5-1-7,6900,17,1-7-6,False
4220230309020010,6-2-3,59240,89,5-1-7,False
4220230309020011,2-5-4,910,3,6-2-3,False
4220230426030005,4-2-6,510,1,1-2,False
4220230426030006,4-3-6,780,1,4-2-6,False
4220230426030007,7-3-4,1730,3,4-3-6,False
4220230426030008,6-2-4,12580,34,7-3-4,False
4220230426030009,5-7-1,5010,14,6-2-4,False
4220230426030010,3-7-1,3890,16,5-7-1,False
4220230426030011,5-7-1,4420,13,3-7-1,False
4220240128020009,3-2-7,4010,9,7-6,False
4220240128020010,5-2-7,970,3,3-2-7,False
4220240128020011,6-1-3,294710,179,5-2-7,False
4220250325020009,7-2-1,14900,55,7-2-1-3,False
4220250401010004,2-1-3,1230,8,2-1-3-4,False
4220250913030003,5-6-2,27980,113,5-6-2-4,False
4220251122020009,1-2-4,1600,21,1-2-4-5,False
4220251214010002,2-1-3,40350,103,2-1-3-5,False
4220260214020007,1-4-2,3530,25,1-4-2-3,False
4320240125020001,3-4-1,1020,4,3-4-1-5,False
4320240209020004,8-3-2,76400,336,8-3-2-6,False
4320240209040009,4-7-1,103400,349,4-7-1-2,False
4320240225030007,4-7-3,6710,48,4-7-3-5,False
4320260604010002,1-6-4,250,2,1-6-4-5,False
4420230218020003,1-4-2,1910,10,1-4-2-7,False
