race_date,race_id,tickets,ret,hits,rule,bet,profit,cum_profit
2026-01-15,2520260115010001,2,0.0,0,high_odds_v1_top2,200,-200.0,8740.0
2026-01-15,2520260115010002,2,0.0,0,high_odds_v1_top2,200,-200.0,8540.0
2026-01-15,2520260115010003,2,0.0,0,high_odds_v1_top2,200,-200.0,8340.0
2026-01-15,2520260115010004,2,0.0,0,high_odds_v1_top2,200,-200.0,8140.0
2026-01-15,2520260115010005,2,0.0,0,high_odds_v1_top2,200,-200.0,7940.0
2026-01-15,2520260115010006,2,0.0,0,high_odds_v1_top2,200,-200.0,7740.0
2026-01-15,2520260115010008,2,10660.0,1,high_odds_v1_top2,200,10460.0,18200.0
2026-01-15,2520260115010012,2,0.0,0,high_odds_v1_top2,200,-200.0,18000.0
2026-01-16,2520260115020001,2,0.0,0,high_odds_v1_top2,200,-200.0,17800.0
2026-01-16,2520260115020003,2,0.0,0,high_odds_v1_top2,200,-200.0,17600.0
2026-01-16,2520260115020004,2,0.0,0,high_odds_v1_top2,200,-200.0,17400.0
2026-01-16,2520260115020005,2,0.0,0,high_odds_v1_top2,200,-200.0,17200.0
2026-01-16,2520260115020009,2,0.0,0,high_odds_v1_top2,200,-200.0,17000.0
2026-01-16,2520260115020010,2,0.0,0,high_odds_v1_top2,200,-200.0,16800.0
2026-01-16,2520260115020012,2,0.0,0,high_odds_v1_top2,200,-200.0,16600.0
2026-01-16,3520260114030006,2,0.0,0,high_odds_v1_top2,200,-200.0,16400.0
2026-01-17,2520260115030001,2,0.0,0,high_odds_v1_top2,200,-200.0,16200.0
2026-01-17,2520260115030003,2,0.0,0,high_odds_v1_top2,200,-200.0,16000.0
2026-01-17,2520260115030004,2,0.0,0,high_odds_v1_top2,200,-200.0,15800.0
2026-01-17,2520260115030005,2,0.0,0,high_odds_v1_top2,200,-200.0,15600.0
2026-01-17,2520260115030007,2,0.0,0,high_odds_v1_top2,200,-200.0,15400.0
2026-01-17,2520260115030008,2,0.0,0,high_odds_v1_top2,200,-200.0,15200.0
2026-01-17,2520260115030009,2,0.0,0,high_odds_v1_top2,200,-200.0,15000.0
2026-01-17,2520260115030010,2,0.0,0,high_odds_v1_top2,200,-200.0,14800.0
2026-01-17,2520260115030011,2,0.0,0,high_odds_v1_top2,200,-200.0,14600.0
2026-01-18,2520260115040001,2,0.0,0,high_odds_v1_top2,200,-200.0,14400.0
2026-01-18,2520260115040004,2,0.0,0,high_odds_v1_top2,200,-200.0,14200.0
2026-01-18,2520260115040005,2,0.0,0,high_odds_v1_top2,200,-200.0,14000.0
2026-01-18,2520260115040006,2,0.0,0,high_odds_v1_top2,200,-200.0,13800.0
2026-01-18,2520260115040007,2,0.0,0,high_odds_v1_top2,200,-200.0,13600.0
2026-01-18,2520260115040009,2,0.0,0,high_odds_v1_top2,200,-200.0,13400.0
2026-01-18,2520260115040010,2,0.0,0,high_odds_v1_top2,200,-200.0,13200.0
2026-01-18,2520260115040011,2,0.0,0,high_odds_v1_top2,200,-200.0,13000.0
2026-01-21,2820260119030005,2,0.0,0,high_odds_v1_top2,200,-200.0,12800.0
2026-01-22,1320260122010001,2,0.0,0,high_odds_v1_top2,200,-200.0,12600.0
2026-01-22,1320260122010002,2,0.0,0,high_odds_v1_top2,200,-200.0,12400.0
2026-01-22,1320260122010003,2,0.0,0,high_odds_v1_top2,200,-200.0,12200.0
2026-01-22,1320260122010004,2,0.0,0,high_odds_v1_top2,200,-200.0,12000.0
2026-01-22,1320260122010006,2,0.0,0,high_odds_v1_top2,200,-200.0,11800.0
2026-01-22,1320260122010008,2,0.0,0,high_odds_v1_top2,200,-200.0,11600.0
2026-01-22,1320260122010009,2,0.0,0,high_odds_v1_top2,200,-200.0,11400.0
2026-01-22,1320260122010011,2,0.0,0,high_odds_v1_top2,200,-200.0,11200.0
2026-01-22,1320260122010012,2,0.0,0,high_odds_v1_top2,200,-200.0,11000.0
2026-01-23,1320260122020003,2,0.0,0,high_odds_v1_top2,200,-200.0,10800.0
2026-01-23,1320260122020004,2,0.0,0,high_odds_v1_top2,200,-200.0,10600.0
2026-01-23,1320260122020005,2,0.0,0,high_odds_v1_top2,200,-200.0,10400.0
2026-01-23,1320260122020006,2,0.0,0,high_odds_v1_top2,200,-200.0,10200.0
2026-01-23,1320260122020007,2,0.0,0,high_odds_v1_top2,200,-200.0,10000.0
2026-01-23,1320260122020008,2,0.0,0,high_odds_v1_top2,200,-200.0,9800.0
2026-01-23,1320260122020009,2,0.0,0,high_odds_v1_top2,200,-200.0,9600.0
2026-01-24,1320260122030001,2,0.0,0,high_odds_v1_top2,200,-200.0,9400.0
2026-01-24,1320260122030004,2,0.0,0,high_odds_v1_top2,200,-200.0,9200.0
2026-01-24,1320260122030005,2,0.0,0,high_odds_v1_top2,200,-200.0,9000.0
2026-01-24,1320260122030006,2,0.0,0,high_odds_v1_top2,200,-200.0,8800.0
2026-01-24,1320260122030007,2,0.0,0,high_odds_v1_top2,200,-200.0,8600.0
2026-01-24,1320260122030008,2,0.0,0,high_odds_v1_top2,200,-200.0,8400.0
2026-01-24,1320260122030010,2,0.0,0,high_odds_v1_top2,200,-200.0,8200.0
2026-01-24,1320260122030011,2,0.0,0,high_odds_v1_top2,200,-200.0,8000.0
2026-01-25,1320260122040002,2,0.0,0,high_odds_v1_top2,200,-200.0,7800.0
2026-01-25,1320260122040004,2,0.0,0,high_odds_v1_top2,200,-200.0,7600.0
2026-01-25,1320260122040005,2,0.0,0,high_odds_v1_top2,200,-200.0,7400.0
2026-01-25,1320260122040006,2,0.0,0,high_odds_v1_top2,200,-200.0,7200.0
2026-01-25,1320260122040007,2,0.0,0,high_odds_v1_top2,200,-200.0,7000.0
2026-01-25,1320260122040008,2,0.0,0,high_odds_v1_top2,200,-200.0,6800.0
2026-01-25,1320260122040010,2,0.0,0,high_odds_v1_top2,200,-200.0,6600.0
